model,n_head,n_layer,lr,n_kv_head,train_loss,val_loss,train_acc,val_acc
MHA,4,2,0.001,,2.517066478729248,2.5194807052612305,0.2702799439430237,0.2715494930744171
MHA,4,2,0.0003,,2.705540657043457,2.72975754737854,0.2594400942325592,0.24980469048023224
MHA,4,4,0.001,,2.5072834491729736,2.5142087936401367,0.2721354067325592,0.2650716006755829
MHA,4,4,0.0003,,2.634594202041626,2.657956600189209,0.2627929747104645,0.25761717557907104
MHA,8,2,0.001,,2.5319342613220215,2.5219192504882812,0.26770833134651184,0.26806640625
MHA,8,2,0.0003,,2.7069005966186523,2.7319023609161377,0.25159505009651184,0.24645182490348816
MHA,8,4,0.001,,2.5083274841308594,2.5149855613708496,0.27314454317092896,0.2712239623069763
MHA,8,4,0.0003,,2.648711681365967,2.663783311843872,0.2663736939430237,0.2609049379825592
GQA,4,2,0.001,2,2.5295422077178955,2.539605140686035,0.2629557251930237,0.26171875
GQA,4,2,0.001,4,2.506687879562378,2.525846242904663,0.2681315243244171,0.26663410663604736
GQA,4,2,0.0003,2,2.7270283699035645,2.7186572551727295,0.25052082538604736,0.2528645694255829
GQA,4,2,0.0003,4,2.7064061164855957,2.718424081802368,0.2548828125,0.25501301884651184
GQA,4,4,0.001,2,2.5065085887908936,2.512211561203003,0.2792317569255829,0.271484375
GQA,4,4,0.001,4,2.508995294570923,2.509228229522705,0.26614582538604736,0.2704426944255829
GQA,4,4,0.0003,2,2.6534690856933594,2.6603901386260986,0.2577473819255829,0.2619466185569763
GQA,4,4,0.0003,4,2.664344310760498,2.6399903297424316,0.2556966245174408,0.2632812559604645
GQA,8,2,0.001,2,2.523772954940796,2.5289642810821533,0.2657877504825592,0.2639322876930237
GQA,8,2,0.001,4,2.5128183364868164,2.5139670372009277,0.27324217557907104,0.2754882872104645
GQA,8,2,0.0003,2,2.70953369140625,2.7357547283172607,0.25257161259651184,0.2478841096162796
GQA,8,2,0.0003,4,2.7134251594543457,2.7224855422973633,0.24928385019302368,0.2517252564430237
GQA,8,4,0.001,2,2.5157179832458496,2.521268367767334,0.27294921875,0.2712239623069763
GQA,8,4,0.001,4,2.5062255859375,2.5358433723449707,0.27197265625,0.26451823115348816
GQA,8,4,0.0003,2,2.6321938037872314,2.6470744609832764,0.2632487118244171,0.2593424618244171
GQA,8,4,0.0003,4,2.6335670948028564,2.6546730995178223,0.26673176884651184,0.2657226622104645
